id,human_decision,human_reasoning
1,B,Contează mai mult să fie salvate 5 vieți decât una.
2,B,"Vârstnicii și-au trăit deja în mare parte viața, au mai puțin de pierdut decât copiii."
3,B,"Persoanele fără adăpost vor scăpa de chinul modului de viață pe care îl au, iar doctorul dacă e salvat, poate salva la randul lui ale multe vieți, aducând folos societății."
4,A,Este mai important să fie salvate un număr de vieți mai mare.
5,A,"Cei doi adulți vor putea să mai construiască o familie și să facă copii pe parcursul vieții lor, în plus, doar femeia însărcinată va simți moartea, bebelușul încă nu s-a născut."
6,B,Viața unui om este prioritară vieții unui animal.
7,A,Prin moartea criminalului se va curăți societatea de o influență negativă.
8,A,"Este mai potrivit să salveze 5 vieți decât una, care e și vinovată."
9,B,"Persoana cu disabilitate, prin moarte va scăpa de chinul vieții, iar atletul va continua să aducă faimă și rezultate societății."
10,B,Pompierul la rândul lui va putea salva mai multe vieți.
11,B,Cei 5 adulți vor putea face alți copii.
12,B,"Profesorul are o funcție importantă de a educa generații, iar persoana cu antecedente penale este un pericol pentru societate și poate omorî alți oameni."
13,B,Pensionarul este în vârstă și oricum urmează să decedeze în curând. iar copilul încă va continua să creasca și poate aduce valoare pentru societate.
14,B,Viața omului e prioritară vieții animalelor.
15,B,"Milionarul merită să fie salvat pentru că poate investi în careva ramuri ale societății și aduce beneficii pentru alți cetățeni, iar muncitorul poate să se întrețină doar pe sine."
16,B,"Asistenta poate continua să salveze vieți, iar pacientul poartă chin fizic și moral și îi va fi mai benefic să moară."
17,A,Femeia însărcinată va putea să mai facă copii și să îi înlocuiască pe cei trei.
18,A,"Soldatul aduce mai multe beneficii pentru restul societății în domeniul protecției, iar civilul trăiește doar pentru sine."
19,A,Tânărul încă nu a reusit să trăiască atât cât cei doi vârstnici au făcut-o deja.
20,A,Cel vinovat merită pedeapsa.
